Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
PM2.5,2013-12-07 04:00,2013,12,7,4,320,µg/m³,1 Hr,Valid
PM2.5,2013-12-07 05:00,2013,12,7,5,244,µg/m³,1 Hr,Valid
PM2.5,2013-12-07 06:00,2013,12,7,6,197,µg/m³,1 Hr,Valid
PM2.5,2013-12-07 07:00,2013,12,7,7,172,µg/m³,1 Hr,Valid
PM2.5,2013-12-07 08:00,2013,12,7,8,156,µg/m³,1 Hr,Valid
PM2.5,2013-12-07 09:00,2013,12,7,9,166,µg/m³,1 Hr,Valid
PM2.5,2013-12-07 10:00,2013,12,7,10,203,µg/m³,1 Hr,Valid
PM2.5,2013-12-07 11:00,2013,12,7,11,277,µg/m³,1 Hr,Valid
PM2.5,2013-12-07 12:00,2013,12,7,12,290,µg/m³,1 Hr,Valid
PM2.5,2013-12-07 13:00,2013,12,7,13,366,µg/m³,1 Hr,Valid
PM2.5,2013-12-07 14:00,2013,12,7,14,392,µg/m³,1 Hr,Valid
PM2.5,2013-12-07 15:00,2013,12,7,15,421,µg/m³,1 Hr,Valid
PM2.5,2013-12-07 16:00,2013,12,7,16,450,µg/m³,1 Hr,Valid
PM2.5,2013-12-07 17:00,2013,12,7,17,443,µg/m³,1 Hr,Valid
PM2.5,2013-12-07 18:00,2013,12,7,18,429,µg/m³,1 Hr,Valid
PM2.5,2013-12-07 19:00,2013,12,7,19,439,µg/m³,1 Hr,Valid
PM2.5,2013-12-07 20:00,2013,12,7,20,460,µg/m³,1 Hr,Valid
PM2.5,2013-12-07 21:00,2013,12,7,21,480,µg/m³,1 Hr,Valid
PM2.5,2013-12-07 22:00,2013,12,7,22,424,µg/m³,1 Hr,Valid
PM2.5,2013-12-07 23:00,2013,12,7,23,440,µg/m³,1 Hr,Valid
PM2.5,2013-12-08 00:00,2013,12,8,0,403,µg/m³,1 Hr,Valid
PM2.5,2013-12-08 01:00,2013,12,8,1,403,µg/m³,1 Hr,Valid
PM2.5,2013-12-08 02:00,2013,12,8,2,389,µg/m³,1 Hr,Valid
PM2.5,2013-12-08 03:00,2013,12,8,3,432,µg/m³,1 Hr,Valid
PM2.5,2013-12-08 04:00,2013,12,8,4,432,µg/m³,1 Hr,Valid
PM2.5,2013-12-08 05:00,2013,12,8,5,435,µg/m³,1 Hr,Valid
PM2.5,2013-12-08 06:00,2013,12,8,6,403,µg/m³,1 Hr,Valid
PM2.5,2013-12-08 07:00,2013,12,8,7,379,µg/m³,1 Hr,Valid
PM2.5,2013-12-08 08:00,2013,12,8,8,346,µg/m³,1 Hr,Valid
PM2.5,2013-12-08 09:00,2013,12,8,9,354,µg/m³,1 Hr,Valid
PM2.5,2013-12-08 10:00,2013,12,8,10,343,µg/m³,1 Hr,Valid
PM2.5,2013-12-08 11:00,2013,12,8,11,266,µg/m³,1 Hr,Valid
PM2.5,2013-12-08 12:00,2013,12,8,12,206,µg/m³,1 Hr,Valid
PM2.5,2013-12-08 13:00,2013,12,8,13,184,µg/m³,1 Hr,Valid
PM2.5,2013-12-08 14:00,2013,12,8,14,47,µg/m³,1 Hr,Valid
PM2.5,2013-12-08 15:00,2013,12,8,15,13,µg/m³,1 Hr,Valid
PM2.5,2013-12-08 16:00,2013,12,8,16,15,µg/m³,1 Hr,Valid
PM2.5,2013-12-08 17:00,2013,12,8,17,15,µg/m³,1 Hr,Valid
PM2.5,2013-12-08 18:00,2013,12,8,18,17,µg/m³,1 Hr,Valid
PM2.5,2013-12-08 19:00,2013,12,8,19,11,µg/m³,1 Hr,Valid
PM2.5,2013-12-08 20:00,2013,12,8,20,15,µg/m³,1 Hr,Valid
PM2.5,2013-12-08 21:00,2013,12,8,21,12,µg/m³,1 Hr,Valid
PM2.5,2013-12-08 22:00,2013,12,8,22,14,µg/m³,1 Hr,Valid
PM2.5,2013-12-08 23:00,2013,12,8,23,12,µg/m³,1 Hr,Valid
PM2.5,2013-12-09 00:00,2013,12,9,0,8,µg/m³,1 Hr,Valid
PM2.5,2013-12-09 01:00,2013,12,9,1,8,µg/m³,1 Hr,Valid
PM2.5,2013-12-09 02:00,2013,12,9,2,6,µg/m³,1 Hr,Valid
PM2.5,2013-12-09 03:00,2013,12,9,3,7,µg/m³,1 Hr,Valid
PM2.5,2013-12-09 04:00,2013,12,9,4,8,µg/m³,1 Hr,Valid
PM2.5,2013-12-09 05:00,2013,12,9,5,8,µg/m³,1 Hr,Valid
PM2.5,2013-12-09 06:00,2013,12,9,6,8,µg/m³,1 Hr,Valid
PM2.5,2013-12-09 07:00,2013,12,9,7,11,µg/m³,1 Hr,Valid
PM2.5,2013-12-09 08:00,2013,12,9,8,12,µg/m³,1 Hr,Valid
PM2.5,2013-12-09 09:00,2013,12,9,9,11,µg/m³,1 Hr,Valid
PM2.5,2013-12-09 10:00,2013,12,9,10,11,µg/m³,1 Hr,Valid
PM2.5,2013-12-09 11:00,2013,12,9,11,9,µg/m³,1 Hr,Valid
PM2.5,2013-12-09 12:00,2013,12,9,12,17,µg/m³,1 Hr,Valid
PM2.5,2013-12-09 13:00,2013,12,9,13,12,µg/m³,1 Hr,Valid
PM2.5,2013-12-09 14:00,2013,12,9,14,12,µg/m³,1 Hr,Valid
PM2.5,2013-12-09 15:00,2013,12,9,15,10,µg/m³,1 Hr,Valid
PM2.5,2013-12-09 16:00,2013,12,9,16,14,µg/m³,1 Hr,Valid
PM2.5,2013-12-09 17:00,2013,12,9,17,12,µg/m³,1 Hr,Valid
PM2.5,2013-12-09 18:00,2013,12,9,18,19,µg/m³,1 Hr,Valid
PM2.5,2013-12-09 19:00,2013,12,9,19,20,µg/m³,1 Hr,Valid
PM2.5,2013-12-09 20:00,2013,12,9,20,55,µg/m³,1 Hr,Valid
PM2.5,2013-12-09 21:00,2013,12,9,21,68,µg/m³,1 Hr,Valid
PM2.5,2013-12-09 22:00,2013,12,9,22,58,µg/m³,1 Hr,Valid
PM2.5,2013-12-09 23:00,2013,12,9,23,63,µg/m³,1 Hr,Valid
PM2.5,2013-12-10 00:00,2013,12,10,0,52,µg/m³,1 Hr,Valid
PM2.5,2013-12-10 01:00,2013,12,10,1,44,µg/m³,1 Hr,Valid
PM2.5,2013-12-10 02:00,2013,12,10,2,60,µg/m³,1 Hr,Valid
PM2.5,2013-12-10 03:00,2013,12,10,3,64,µg/m³,1 Hr,Valid
PM2.5,2013-12-10 04:00,2013,12,10,4,44,µg/m³,1 Hr,Valid
PM2.5,2013-12-10 05:00,2013,12,10,5,38,µg/m³,1 Hr,Valid
PM2.5,2013-12-10 06:00,2013,12,10,6,41,µg/m³,1 Hr,Valid
PM2.5,2013-12-10 07:00,2013,12,10,7,29,µg/m³,1 Hr,Valid
PM2.5,2013-12-10 08:00,2013,12,10,8,32,µg/m³,1 Hr,Valid
PM2.5,2013-12-10 09:00,2013,12,10,9,41,µg/m³,1 Hr,Valid
PM2.5,2013-12-10 10:00,2013,12,10,10,53,µg/m³,1 Hr,Valid
PM2.5,2013-12-10 11:00,2013,12,10,11,24,µg/m³,1 Hr,Valid
PM2.5,2013-12-10 12:00,2013,12,10,12,16,µg/m³,1 Hr,Valid
PM2.5,2013-12-10 13:00,2013,12,10,13,14,µg/m³,1 Hr,Valid
PM2.5,2013-12-10 14:00,2013,12,10,14,8,µg/m³,1 Hr,Valid
PM2.5,2013-12-10 15:00,2013,12,10,15,9,µg/m³,1 Hr,Valid
PM2.5,2013-12-10 16:00,2013,12,10,16,8,µg/m³,1 Hr,Valid
PM2.5,2013-12-10 17:00,2013,12,10,17,10,µg/m³,1 Hr,Valid
PM2.5,2013-12-10 18:00,2013,12,10,18,13,µg/m³,1 Hr,Valid
PM2.5,2013-12-10 19:00,2013,12,10,19,11,µg/m³,1 Hr,Valid
PM2.5,2013-12-10 20:00,2013,12,10,20,7,µg/m³,1 Hr,Valid
PM2.5,2013-12-10 21:00,2013,12,10,21,14,µg/m³,1 Hr,Valid
PM2.5,2013-12-10 22:00,2013,12,10,22,13,µg/m³,1 Hr,Valid
PM2.5,2013-12-10 23:00,2013,12,10,23,9,µg/m³,1 Hr,Valid
PM2.5,2013-12-11 00:00,2013,12,11,0,8,µg/m³,1 Hr,Valid
PM2.5,2013-12-11 01:00,2013,12,11,1,6,µg/m³,1 Hr,Valid
PM2.5,2013-12-11 02:00,2013,12,11,2,6,µg/m³,1 Hr,Valid
PM2.5,2013-12-11 03:00,2013,12,11,3,5,µg/m³,1 Hr,Valid
PM2.5,2013-12-11 04:00,2013,12,11,4,11,µg/m³,1 Hr,Valid
PM2.5,2013-12-11 05:00,2013,12,11,5,9,µg/m³,1 Hr,Valid
PM2.5,2013-12-11 06:00,2013,12,11,6,8,µg/m³,1 Hr,Valid
PM2.5,2013-12-11 07:00,2013,12,11,7,23,µg/m³,1 Hr,Valid
PM2.5,2013-12-11 08:00,2013,12,11,8,10,µg/m³,1 Hr,Valid
PM2.5,2013-12-11 09:00,2013,12,11,9,16,µg/m³,1 Hr,Valid
PM2.5,2013-12-11 10:00,2013,12,11,10,30,µg/m³,1 Hr,Valid
PM2.5,2013-12-11 11:00,2013,12,11,11,35,µg/m³,1 Hr,Valid
PM2.5,2013-12-11 12:00,2013,12,11,12,33,µg/m³,1 Hr,Valid
PM2.5,2013-12-11 13:00,2013,12,11,13,33,µg/m³,1 Hr,Valid
PM2.5,2013-12-11 14:00,2013,12,11,14,17,µg/m³,1 Hr,Valid
PM2.5,2013-12-11 15:00,2013,12,11,15,29,µg/m³,1 Hr,Valid
PM2.5,2013-12-11 16:00,2013,12,11,16,31,µg/m³,1 Hr,Valid
PM2.5,2013-12-11 17:00,2013,12,11,17,34,µg/m³,1 Hr,Valid
PM2.5,2013-12-11 18:00,2013,12,11,18,40,µg/m³,1 Hr,Valid
PM2.5,2013-12-11 19:00,2013,12,11,19,75,µg/m³,1 Hr,Valid
PM2.5,2013-12-11 20:00,2013,12,11,20,55,µg/m³,1 Hr,Valid
PM2.5,2013-12-11 21:00,2013,12,11,21,76,µg/m³,1 Hr,Valid
PM2.5,2013-12-11 22:00,2013,12,11,22,89,µg/m³,1 Hr,Valid
PM2.5,2013-12-11 23:00,2013,12,11,23,60,µg/m³,1 Hr,Valid
PM2.5,2013-12-12 00:00,2013,12,12,0,47,µg/m³,1 Hr,Valid
PM2.5,2013-12-12 01:00,2013,12,12,1,53,µg/m³,1 Hr,Valid
PM2.5,2013-12-12 02:00,2013,12,12,2,61,µg/m³,1 Hr,Valid
PM2.5,2013-12-12 03:00,2013,12,12,3,48,µg/m³,1 Hr,Valid
PM2.5,2013-12-12 04:00,2013,12,12,4,14,µg/m³,1 Hr,Valid
PM2.5,2013-12-12 05:00,2013,12,12,5,39,µg/m³,1 Hr,Valid
PM2.5,2013-12-12 06:00,2013,12,12,6,23,µg/m³,1 Hr,Valid
PM2.5,2013-12-12 07:00,2013,12,12,7,10,µg/m³,1 Hr,Valid
PM2.5,2013-12-12 08:00,2013,12,12,8,11,µg/m³,1 Hr,Valid
PM2.5,2013-12-12 09:00,2013,12,12,9,10,µg/m³,1 Hr,Valid
PM2.5,2013-12-12 10:00,2013,12,12,10,9,µg/m³,1 Hr,Valid
PM2.5,2013-12-12 11:00,2013,12,12,11,12,µg/m³,1 Hr,Valid
PM2.5,2013-12-12 12:00,2013,12,12,12,8,µg/m³,1 Hr,Valid
PM2.5,2013-12-12 13:00,2013,12,12,13,6,µg/m³,1 Hr,Valid
PM2.5,2013-12-12 14:00,2013,12,12,14,13,µg/m³,1 Hr,Valid
PM2.5,2013-12-12 15:00,2013,12,12,15,10,µg/m³,1 Hr,Valid
PM2.5,2013-12-12 16:00,2013,12,12,16,8,µg/m³,1 Hr,Valid
PM2.5,2013-12-12 17:00,2013,12,12,17,9,µg/m³,1 Hr,Valid
PM2.5,2013-12-12 18:00,2013,12,12,18,16,µg/m³,1 Hr,Valid
PM2.5,2013-12-12 19:00,2013,12,12,19,23,µg/m³,1 Hr,Valid
PM2.5,2013-12-12 20:00,2013,12,12,20,12,µg/m³,1 Hr,Valid
PM2.5,2013-12-12 21:00,2013,12,12,21,16,µg/m³,1 Hr,Valid
PM2.5,2013-12-12 22:00,2013,12,12,22,38,µg/m³,1 Hr,Valid
PM2.5,2013-12-12 23:00,2013,12,12,23,49,µg/m³,1 Hr,Valid
PM2.5,2013-12-13 00:00,2013,12,13,0,45,µg/m³,1 Hr,Valid
PM2.5,2013-12-13 01:00,2013,12,13,1,48,µg/m³,1 Hr,Valid
PM2.5,2013-12-13 02:00,2013,12,13,2,45,µg/m³,1 Hr,Valid
PM2.5,2013-12-13 03:00,2013,12,13,3,39,µg/m³,1 Hr,Valid
PM2.5,2013-12-13 04:00,2013,12,13,4,43,µg/m³,1 Hr,Valid
PM2.5,2013-12-13 05:00,2013,12,13,5,51,µg/m³,1 Hr,Valid
PM2.5,2013-12-13 06:00,2013,12,13,6,88,µg/m³,1 Hr,Valid
PM2.5,2013-12-13 07:00,2013,12,13,7,92,µg/m³,1 Hr,Valid
PM2.5,2013-12-13 08:00,2013,12,13,8,85,µg/m³,1 Hr,Valid
PM2.5,2013-12-13 09:00,2013,12,13,9,87,µg/m³,1 Hr,Valid
PM2.5,2013-12-13 10:00,2013,12,13,10,30,µg/m³,1 Hr,Valid
PM2.5,2013-12-13 11:00,2013,12,13,11,57,µg/m³,1 Hr,Valid
PM2.5,2013-12-13 12:00,2013,12,13,12,58,µg/m³,1 Hr,Valid
PM2.5,2013-12-13 13:00,2013,12,13,13,49,µg/m³,1 Hr,Valid
PM2.5,2013-12-13 14:00,2013,12,13,14,52,µg/m³,1 Hr,Valid
PM2.5,2013-12-13 15:00,2013,12,13,15,79,µg/m³,1 Hr,Valid
PM2.5,2013-12-13 16:00,2013,12,13,16,88,µg/m³,1 Hr,Valid
PM2.5,2013-12-13 17:00,2013,12,13,17,114,µg/m³,1 Hr,Valid
PM2.5,2013-12-13 18:00,2013,12,13,18,144,µg/m³,1 Hr,Valid
PM2.5,2013-12-13 19:00,2013,12,13,19,101,µg/m³,1 Hr,Valid
PM2.5,2013-12-13 20:00,2013,12,13,20,66,µg/m³,1 Hr,Valid
PM2.5,2013-12-13 21:00,2013,12,13,21,68,µg/m³,1 Hr,Valid
PM2.5,2013-12-13 22:00,2013,12,13,22,69,µg/m³,1 Hr,Valid
PM2.5,2013-12-13 23:00,2013,12,13,23,71,µg/m³,1 Hr,Valid
PM2.5,2013-12-14 00:00,2013,12,14,0,123,µg/m³,1 Hr,Valid
PM2.5,2013-12-14 01:00,2013,12,14,1,118,µg/m³,1 Hr,Valid
